editor_name_BWS,query_article_BWS,article_id_BWS,TOP-K_BWS,Score_BWS,editor_name_BM25,query_article_BM25,article_id_BM25,TOP-K_BM25,Score_BM25
brnada,FALTER_20220302_19351A344E,FALTER_20220413_EDC7023A23,12,-0.625,brnada,FALTER_20220302_19351A344E,FALTER_20220323_9D2681AD74,12,112.065903
brnada,FALTER_20220302_19351A344E,FALTER_20220323_2D65096906,13,-0.625,brnada,FALTER_20220302_19351A344E,FALTER_20221116_2C69901D73,13,111.739601
brnada,FALTER_20220302_19351A344E,FALTER_20220323_9D2681AD74,14,-0.75,brnada,FALTER_20220302_19351A344E,FALTER_20220406_CFF3E4B722,14,108.664803
brnada,FALTER_20220302_19351A344E,FALTER_20221116_2C69901D73,15,-1.0,brnada,FALTER_20220302_19351A344E,FALTER_20220309_54EDF6DE99,15,107.7369
brnada,FALTER_20220302_57B22E6ACE,FALTER_20220810_8E36475C03,1,1.0,brnada,FALTER_20220302_57B22E6ACE,FALTER_20220810_8E36475C03,1,131.283493
brnada,FALTER_20220302_57B22E6ACE,FALTER_20220629_2D1EF3F677,2,0.75,brnada,FALTER_20220302_57B22E6ACE,FALTER_20220803_64C0733884,2,99.696899
brnada,FALTER_20220302_57B22E6ACE,FALTER_20220330_C0D90F157B,3,0.5,brnada,FALTER_20220302_57B22E6ACE,FALTER_20220223_27DE9DFAF4,3,90.2015
brnada,FALTER_20220302_57B22E6ACE,FALTER_20220803_64C0733884,4,0.5,brnada,FALTER_20220302_57B22E6ACE,FALTER_20220309_550DDBD939,4,89.884201
brnada,FALTER_20220302_57B22E6ACE,FALTER_20220302_19351A344E,5,0.375,brnada,FALTER_20220302_57B22E6ACE,FALTER_20220921_22135BD9FB,5,89.507004
brnada,FALTER_20220302_57B22E6ACE,FALTER_20220309_550DDBD939,6,0.25,brnada,FALTER_20220302_57B22E6ACE,FALTER_20220309_42A389810E,6,89.005302
brnada,FALTER_20220302_57B22E6ACE,FALTER_20220309_42A389810E,7,0.0,brnada,FALTER_20220302_57B22E6ACE,FALTER_20220302_19351A344E,7,87.927902
brnada,FALTER_20220302_57B22E6ACE,FALTER_20220413_92BC5802FB,8,-0.125,brnada,FALTER_20220302_57B22E6ACE,FALTER_20220330_C0D90F157B,8,86.822502
brnada,FALTER_20220302_57B22E6ACE,FALTER_20220309_1C6B8418BE,9,-0.125,brnada,FALTER_20220302_57B22E6ACE,FALTER_20220216_154FB2A50F,9,82.554497
brnada,FALTER_20220302_57B22E6ACE,FALTER_20220223_27DE9DFAF4,10,-0.125,brnada,FALTER_20220302_57B22E6ACE,FALTER_20211222_96F3A54AA0,10,77.253899
brnada,FALTER_20220302_57B22E6ACE,FALTER_20220216_154FB2A50F,11,-0.25,brnada,FALTER_20220302_57B22E6ACE,FALTER_20220629_2D1EF3F677,11,75.101196
brnada,FALTER_20220302_57B22E6ACE,FALTER_20220504_88561D5AE3,12,-0.25,brnada,FALTER_20220302_57B22E6ACE,FALTER_20220413_EDC7023A23,12,74.764
brnada,FALTER_20220302_57B22E6ACE,FALTER_20220413_EDC7023A23,13,-0.75,brnada,FALTER_20220302_57B22E6ACE,FALTER_20220309_1C6B8418BE,13,74.446999
brnada,FALTER_20220302_57B22E6ACE,FALTER_20220921_22135BD9FB,14,-0.875,brnada,FALTER_20220302_57B22E6ACE,FALTER_20220504_88561D5AE3,14,73.566498
brnada,FALTER_20220302_57B22E6ACE,FALTER_20211222_96F3A54AA0,15,-0.875,brnada,FALTER_20220302_57B22E6ACE,FALTER_20220413_92BC5802FB,15,72.541496
brnada,FALTER_20220309_42A389810E,FALTER_20220316_C33003D020,1,1.0,brnada,FALTER_20220309_42A389810E,FALTER_20220309_0239B6A0BC,1,83.814102
brnada,FALTER_20220309_42A389810E,FALTER_20220309_0239B6A0BC,2,0.875,brnada,FALTER_20220309_42A389810E,FALTER_20220330_4D56533486,2,82.995399
brnada,FALTER_20220309_42A389810E,FALTER_20220928_E5DF2B1850,3,0.5,brnada,FALTER_20220309_42A389810E,FALTER_20220302_19351A344E,3,80.921501
brnada,FALTER_20220309_42A389810E,FALTER_20220713_038D7E7989,4,0.375,brnada,FALTER_20220309_42A389810E,FALTER_20220316_C33003D020,4,76.531303
brnada,FALTER_20220309_42A389810E,FALTER_20220330_12EF29740D,5,0.375,brnada,FALTER_20220309_42A389810E,FALTER_20220921_22135BD9FB,5,74.797096
brnada,FALTER_20220309_42A389810E,FALTER_20220216_154FB2A50F,6,0.125,brnada,FALTER_20220309_42A389810E,FALTER_20220309_1C6B8418BE,6,73.415199
brnada,FALTER_20220309_42A389810E,FALTER_20220330_4D56533486,7,0.125,brnada,FALTER_20220309_42A389810E,FALTER_20220810_8E36475C03,7,71.922798
